Uqno,Psuno_seg,Taz_exp,Stratum,Metro_code,District_code,Pr_code,Geo_type
1621002210000023001,16210022100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621002210000025501,16210022100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621005010000003801,16210050100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621005010000008101,16210050100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621005010000012401,16210050100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621005010000016701,16210050100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621005010000025301,16210050100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621006610000001401,16210066100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621006610000003401,16210066100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621006610000005401,16210066100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621006610000007401,16210066100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621006610000009401,16210066100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621006610000011401,16210066100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621006610000013401,16210066100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621006610000017401,16210066100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621007010000020001,16210070100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008210000000201,16210082100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008210000001501,16210082100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008210000002801,16210082100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008210000004101,16210082100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008210000006701,16210082100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008210000010601,16210082100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008210000011901,16210082100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008210000013201,16210082100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008510000000601,16210085100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008510000002801,16210085100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008510000003901,16210085100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008510000005001,16210085100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008510000006101,16210085100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621008510000008301,16210085100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621009110000001701,16210091100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621009110000003601,16210091100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621009110000005501,16210091100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621009110000007401,16210091100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621009110000009301,16210091100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621009110000011201,16210091100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621009110000015001,16210091100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621009110000018801,16210091100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621010410000000501,16210104100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621010410000001401,16210104100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621010410000004101,16210104100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621010410000007701,16210104100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1631000910000001001,16310009100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631000910000001901,16310009100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631000910000002801,16310009100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631000910000005501,16310009100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631000910000006401,16310009100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631000910000007301,16310009100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631000910000008201,16310009100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631002310000004301,16310023100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631002310000007701,16310023100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631002310000017901,16310023100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005010000000301,16310050100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005010000001801,16310050100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005010000003301,16310050100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005010000004801,16310050100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005010000006301,16310050100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005010000007801,16310050100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005010000009301,16310050100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005010000010801,16310050100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005010000012301,16310050100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000001001,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000002601,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000004201,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000005801,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000007401,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000009001,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000010601,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000012201,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000013801,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005410000015401,16310054100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005710000000701,16310057100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005710000001401,16310057100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005710000002801,16310057100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005710000003501,16310057100,900400,1102,01,DC01,Western Cape,Urban: Urban area
